"","c1","c2","c3","c4"
"264","Estonia",2016,"A",150
"265","Estonia",2017,"H1",0
"266","Estonia",2017,"H1p09",0
"267","Estonia",2017,"H3",65
"268","Estonia",2017,"A",65
"269","Greece",1997,"H1",0
"270","Greece",1997,"H1p09",0
"271","Greece",1997,"H3",3
"272","Greece",1997,"A",3
"273","Greece",1998,"H1",0
"274","Greece",1998,"H1p09",0
"275","Greece",1998,"H3",10
"276","Greece",1998,"A",10
"277","Greece",1999,"H1",0
"278","Greece",1999,"H1p09",0
"279","Greece",1999,"H3",3
"280","Greece",1999,"A",3
"281","Greece",2000,"H1",0
"282","Greece",2000,"H1p09",0
"283","Greece",2000,"H3",12
"284","Greece",2000,"A",12
"285","Greece",2001,"H1",29
"286","Greece",2001,"H1p09",0
"287","Greece",2001,"H3",0
"288","Greece",2001,"A",29
"289","Greece",2002,"H1",0
"290","Greece",2002,"H1p09",0
"291","Greece",2002,"H3",3
"292","Greece",2002,"A",3
"293","Greece",2003,"H1",3
"294","Greece",2003,"H1p09",0
"295","Greece",2003,"H3",38
"296","Greece",2003,"A",41
"297","Greece",2004,"H1",0
"298","Greece",2004,"H1p09",0
"299","Greece",2004,"H3",40
"300","Greece",2004,"A",40
"301","Greece",2005,"H1",108
"302","Greece",2005,"H1p09",0
"303","Greece",2005,"H3",102
"304","Greece",2005,"A",210
"305","Greece",2006,"H1",0
"306","Greece",2006,"H1p09",0
"307","Greece",2006,"H3",34
"308","Greece",2006,"A",34
"309","Greece",2007,"H1",3
"310","Greece",2007,"H1p09",0
"311","Greece",2007,"H3",244
"312","Greece",2007,"A",247
"313","Greece",2008,"H1",141
"314","Greece",2008,"H1p09",0
"315","Greece",2008,"H3",0
"316","Greece",2008,"A",141
"317","Greece",2009,"H1",5
"318","Greece",2009,"H1p09",7316
"319","Greece",2009,"H3",231
"320","Greece",2009,"A",7552
"321","Greece",2010,"H1",1
"322","Greece",2010,"H1p09",1085
"323","Greece",2010,"H3",1
"324","Greece",2010,"A",1087
"325","Greece",2011,"H1",0
"326","Greece",2011,"H1p09",5260
"327","Greece",2011,"H3",22
"328","Greece",2011,"A",5282
"329","Greece",2012,"H1",0
"330","Greece",2012,"H1p09",1
"331","Greece",2012,"H3",217
"332","Greece",2012,"A",218
"333","Greece",2013,"H1",0
"334","Greece",2013,"H1p09",227
"335","Greece",2013,"H3",209
"336","Greece",2013,"A",436
"337","Greece",2014,"H1",0
"338","Greece",2014,"H1p09",692
"339","Greece",2014,"H3",206
"340","Greece",2014,"A",898
"341","Greece",2015,"H1",2
"342","Greece",2015,"H1p09",118
"343","Greece",2015,"H3",824
"344","Greece",2015,"A",944
"345","Greece",2016,"H1",0
"346","Greece",2016,"H1p09",1426
"347","Greece",2016,"H3",58
"348","Greece",2016,"A",1484
"349","Greece",2017,"H1",0
"350","Greece",2017,"H1p09",2
"351","Greece",2017,"H3",655
"352","Greece",2017,"A",657
"353","Norway",1997,"H1",1
"354","Norway",1997,"H1p09",0
"355","Norway",1997,"H3",20
"356","Norway",1997,"A",21
"357","Norway",1998,"H1",3
"358","Norway",1998,"H1p09",0
"359","Norway",1998,"H3",26
"360","Norway",1998,"A",29
"361","Norway",1999,"H1",0
"362","Norway",1999,"H1p09",0
"363","Norway",1999,"H3",66
"364","Norway",1999,"A",66
"365","Norway",2000,"H1",4
"366","Norway",2000,"H1p09",0
"367","Norway",2000,"H3",40
"368","Norway",2000,"A",44
"369","Norway",2001,"H1",35
"370","Norway",2001,"H1p09",0
"371","Norway",2001,"H3",5
"372","Norway",2001,"A",40
"373","Norway",2002,"H1",0
"374","Norway",2002,"H1p09",0
"375","Norway",2002,"H3",31
"376","Norway",2002,"A",31
"377","Norway",2003,"H1",7
"378","Norway",2003,"H1p09",0
"379","Norway",2003,"H3",149
"380","Norway",2003,"A",156
"381","Norway",2004,"H1",0
"382","Norway",2004,"H1p09",0
"383","Norway",2004,"H3",7
"384","Norway",2004,"A",7
"385","Norway",2005,"H1",20
"386","Norway",2005,"H1p09",0
"387","Norway",2005,"H3",114
"388","Norway",2005,"A",134
"389","Norway",2006,"H1",48
"390","Norway",2006,"H1p09",0
"391","Norway",2006,"H3",51
"392","Norway",2006,"A",99
"393","Norway",2007,"H1",42
"394","Norway",2007,"H1p09",0
"395","Norway",2007,"H3",242
"396","Norway",2007,"A",284
"397","Norway",2008,"H1",278
"398","Norway",2008,"H1p09",0
"399","Norway",2008,"H3",83
"400","Norway",2008,"A",361
"401","Norway",2009,"H1",20
"402","Norway",2009,"H1p09",6623
"403","Norway",2009,"H3",184
