Country,Year,Subtype,Observed
Thailand,2007,H3,594
Thailand,2008,H3,327
Thailand,2009,H3,213
Thailand,2010,H3,242
Thailand,2011,H3,509
Thailand,2012,H3,101
Thailand,2013,H3,471
Thailand,2014,H3,170
Thailand,2015,H1p09,35
Cambodia,1997,A,0
Cambodia,1998,A,0
Cambodia,1999,A,0
Cambodia,2000,A,0
Cambodia,2001,A,0
Cambodia,2002,A,0
Cambodia,2003,A,0
Cambodia,2004,A,0
Cambodia,2005,A,0
Cambodia,2006,A,30
Cambodia,2007,A,41
Cambodia,2008,A,141
Cambodia,2009,A,775
Cambodia,2010,A,888
Cambodia,2011,A,446
Cambodia,2012,A,255
Cambodia,2013,A,126
Cambodia,2014,A,179
Thailand,2015,H3,202
China,1997,A,446
China,1998,A,36
China,1999,A,331
China,2000,A,414
China,2001,A,1437
China,2002,A,1992
China,2003,A,1924
China,2004,A,5070
China,2005,A,7000
China,2006,A,4713
China,2007,A,7439
China,2008,A,5213
China,2009,A,99317
China,2010,A,22233
China,2011,A,13520
China,2012,A,22671
China,2013,A,27295
China,2014,A,53943
Thailand,2015,A,237
China,2016,A,50865
China,2017,A,27116
Egypt,1997,A,0
Egypt,1998,A,2
Egypt,1999,A,1
Egypt,2000,A,2
Egypt,2001,A,12
Egypt,2002,A,57
Egypt,2003,A,32
Egypt,2004,A,29
Egypt,2005,A,98
Egypt,2006,A,145
Egypt,2007,A,104
Egypt,2008,A,92
Egypt,2009,A,8037
Egypt,2010,A,2910
Egypt,2011,A,1313
Egypt,2012,A,513
Egypt,2013,A,561
Egypt,2014,A,2062
Vietnam,2015,H1,0
Indonesia,1997,A,0
Indonesia,1998,A,0
Indonesia,1999,A,0
Indonesia,2000,A,0
Indonesia,2001,A,0
Indonesia,2002,A,0
Indonesia,2003,A,0
Indonesia,2004,A,209
Indonesia,2005,A,135
Indonesia,2006,A,0
Indonesia,2007,A,0
Indonesia,2008,A,0
Indonesia,2009,A,0
Indonesia,2010,A,378
Indonesia,2011,A,419
Indonesia,2012,A,466
Indonesia,2013,A,701
Indonesia,2014,A,595
Vietnam,2015,H1p09,115
Vietnam,1997,A,0
Vietnam,1998,A,0
Vietnam,1999,A,0
Vietnam,2000,A,0
Vietnam,2001,A,0
Vietnam,2002,A,0
Vietnam,2003,A,0
Vietnam,2004,A,0
Vietnam,2005,A,0
Vietnam,2006,A,481
Vietnam,2007,A,804
Vietnam,2008,A,868
Vietnam,2009,A,1455
Vietnam,2010,A,469
Vietnam,2011,A,720
Vietnam,2012,A,317
Vietnam,2013,A,709
Vietnam,2014,A,319
Vietnam,2015,H3,460
Thailand,1997,A,8
Thailand,1998,A,35
Thailand,1999,A,0
Thailand,2000,A,24
Thailand,2001,A,13
Thailand,2002,A,0
Thailand,2003,A,9
Thailand,2004,A,432
Thailand,2005,A,336
Thailand,2006,A,520
Thailand,2007,A,728
Thailand,2008,A,648
Thailand,2009,A,878
Thailand,2010,A,1483
Thailand,2011,A,580
Thailand,2012,A,357
Thailand,2013,A,523
Thailand,2014,A,527
Vietnam,2015,A,576
UK,1997,H1,21
UK,1997,H1p09,0
UK,1997,H3,375
UK,1997,A,422
UK,1997,All,866
UK,1998,H1,201
UK,1998,H1p09,0
UK,1998,H3,480
UK,1998,A,691
UK,1998,All,708
UK,1999,H1,1
UK,1999,H1p09,0
UK,1999,H3,996
UK,1999,A,998
UK,1999,All,1183
UK,2000,H1,63
UK,2000,H1p09,0
UK,2000,H3,320
UK,2000,A,402
UK,2000,All,448
UK,2001,H1,268
UK,2001,H1p09,0
UK,2001,H3,18
UK,2001,A,297
UK,2001,All,821
UK,2002,H1,1
UK,2002,H1p09,0
UK,2002,H3,57
UK,2002,A,107
UK,2002,All,109
UK,2003,H1,29
UK,2003,H1p09,0
UK,2003,H3,1549
UK,2003,A,1578
UK,2003,All,1884
